,city,voivodeship,Name,Population,Latitude,Longitude
292,dobra,Zachodniopomorskie,Dobra,1454.0,51.9160472,18.615180600000002
293,dobra,Zachodniopomorskie,Dobra,2347.0,53.584658999999995,15.3073048
294,dabrowa-tarnowska,Małopolskie,Dąbrowa Tarnowska,11846.0,50.1743495,20.985070699999998
295,gorlice,Małopolskie,Gorlice,28415.0,49.65829,21.1593832
296,grojec,Małopolskie,Grójec,16197.0,51.8655126,20.8675017
297,grojec,Mazowieckie,Grójec,16197.0,51.8655126,20.8675017
298,grybow,Małopolskie,Grybów,6066.0,49.6250919,20.9446455
299,jordanow,Małopolskie,Jordanów,5340.0,49.6492876,19.829953200000002
300,kalwaria-zebrzydowska,Małopolskie,Kalwaria Zebrzydowska,4593.0,49.8669482,19.6763089
301,krakow,Małopolskie,Kraków,762508.0,50.0619474,19.9368564
302,krynica-zdroj,Małopolskie,Krynica-Zdrój,11165.0,49.4206138,20.959417600000002
303,krzeszowice,Małopolskie,Krzeszowice,10268.0,50.1350246,19.632016399999998
304,kety,Małopolskie,Kęty,19104.0,49.8817723,19.230203600000003
305,libiaz,Małopolskie,Libiąż,17355.0,50.1030516,19.3147486
306,limanowa,Małopolskie,Limanowa,15133.0,49.7061713,20.4217266
307,makow-podhalanski,Małopolskie,Maków Podhalański,6037.0,49.7298971,19.6768803
308,miechow,Małopolskie,Miechów,11832.0,50.3566016,20.0276912
309,mszana-dolna,Małopolskie,Mszana Dolna,7941.0,49.677975599999996,20.0820073
310,muszyna,Małopolskie,Muszyna,5069.0,49.3561684,20.8967477
311,myslenice,Małopolskie,Myślenice,18365.0,49.834608,19.938428299999998
312,niepolomice,Małopolskie,Niepołomice,13276.0,50.033182000000004,20.2168012
313,nowy-sacz,Małopolskie,Nowy Sącz,83943.0,49.62491729999999,20.691346
314,nowy-targ,Małopolskie,Nowy Targ,33672.0,49.4818229,20.030541
315,nowy-wisnicz,Małopolskie,Nowy Wiśnicz,2757.0,49.915266700000004,20.4621677
316,olkusz,Małopolskie,Olkusz,36724.0,50.2788158,19.5596307
317,osiek,Małopolskie,Osiek,1993.0,50.5194515,21.442561899999998
318,osiek,Świętokrzyskie,Osiek,1993.0,50.5194515,21.442561899999998
319,osiek,Świętokrzyskie,Osiek,1993.0,50.5194515,21.442561899999998
320,oswiecim,Małopolskie,Oświęcim,39664.0,50.038244299999995,19.2214053
321,proszowice,Małopolskie,Proszowice,6184.0,50.1926479,20.2917555
322,rabka-zdroj,Małopolskie,Rabka-Zdrój,13154.0,49.60766629999999,19.9622575
323,radlow,Małopolskie,Radłów,2771.0,50.083088700000005,20.8476617
324,radlow,Opolskie,Radłów,2771.0,50.083088700000005,20.8476617
325,skawina,Małopolskie,Skawina,24260.0,49.974750799999995,19.8265702
326,skala,Małopolskie,Skała,3762.0,50.230376899999996,19.853537
327,stary-sacz,Małopolskie,Stary Sącz,9107.0,49.5640268,20.6366235
328,sucha-beskidzka,Małopolskie,Sucha Beskidzka,9485.0,49.740790000000004,19.5905975
329,sulkowice,Małopolskie,Sułkowice,6520.0,49.8408265,19.801213699999998
330,szczucin,Małopolskie,Szczucin,4145.0,50.3090256,21.075160999999998
331,slomniki,Małopolskie,Słomniki,4423.0,50.2403739,20.081136899999997
332,tarnow,Małopolskie,Tarnów,112120.0,50.012378399999996,20.988073899999996
333,trzebinia,Małopolskie,Trzebinia,20302.0,50.1597686,19.470909699999996
334,tuchow,Małopolskie,Tuchów,6720.0,49.895219,21.0538362
335,wadowice,Małopolskie,Wadowice,19309.0,49.8834484,19.4925345
336,wieliczka,Małopolskie,Wieliczka,21676.0,49.982377299999996,20.060211399999996
337,wolbrom,Małopolskie,Wolbrom,8874.0,50.3848386,19.759884399999997
338,zakliczyn,Małopolskie,Zakliczyn,1558.0,49.8564352,20.8086652
339,zakopane,Małopolskie,Zakopane,27442.0,49.296944599999996,19.950658999999998
340,zator,Małopolskie,Zator,3683.0,49.996305299999996,19.4376782
341,swiatniki-gorne,Małopolskie,Świątniki Górne,2394.0,49.934636499999996,19.9524965
